MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC,POP
MORRO CABECA NO TEMPO,231935.0,828,1085400.0,1649,4180.0,4,19,0,41.92,4532
MORRO DO CHAPEU DO PIAUI,266988.0,1155,1678200.0,2511,21945.0,22,340,2,500.29,6796
MURICI DOS PORTELAS,226267.0,1350,1914000.0,2787,28215.0,28,70,3,76.43,9159
NAZARE DO PIAUI,354193.0,1382,2011200.0,2917,65835.0,64,69,2,94.02,7339
NAZARIA,456581.0,2011,3010200.0,3997,71060.0,69,97,7,113.19,8570
NOSSA SENHORA DE NAZARE,155303.0,855,1407000.0,1995,36575.0,36,43,4,88.3,4870
NOSSA SENHORA DOS REMEDIOS,466315.0,2160,2742000.0,3990,39710.0,39,457,8,525.77,8692
NOVO ORIENTE DO PIAUI,208524.0,1067,1580400.0,2342,49115.0,48,46,2,70.07,6565
NOVO SANTO ANTONIO,162694.0,670,978600.0,1480,36575.0,36,60,0,200.6,2991
OEIRAS,997932.0,5901,9535200.0,13628,1770230.0,1695,1328,14,358.64,37029
OLHO D'AGUA DO PIAUI,106256.0,481,823800.0,1158,4180.0,5,79,2,321.27,2459
PADRE MARCOS,333973.0,1470,2088600.0,2906,107635.0,104,83,2,120.85,6868
PAES LANDIM,209166.0,837,1285200.0,1914,15675.0,16,19,1,46.02,4129
PAJEU DO PIAUI,114673.0,616,765000.0,1150,5225.0,5,6,1,17.7,3389
PALMEIRA DO PIAUI,165449.0,853,1365600.0,1893,48070.0,47,73,2,144.76,5043
PALMEIRAIS,541361.0,2885,3799200.0,5165,114950.0,111,193,4,132.75,14539
PAQUETA,172121.0,820,1075200.0,1601,15675.0,16,37,0,93.79,3945
PARNAGUA,539391.0,2109,2851200.0,4071,68970.0,67,62,1,57.46,10791
PARNAIBA,1517255.0,10935,31185000.0,44008,5771537.44,5522,6454,134,421.62,153078
PASSAGEM FRANCA DO PIAUI,205135.0,887,1403400.0,1745,18810.0,19,172,3,398.79,4313
PATOS DO PIAUI,132233.0,904,1493400.0,2257,17765.0,18,43,0,67.27,6392
PAU D'ARCO DO PIAUI,208942.0,914,1189800.0,1720,1045.0,1,100,0,247.22,4045
PAULISTANA,606776.0,3738,5668200.0,8155,932140.5,893,93,1,45.32,20523
PAVUSSU,229926.0,1116,1228800.0,1812,4180.0,4,59,1,160.46,3677
PEDRO II,1831125.0,7021,10874400.0,15258,1120240.05,1072,348,10,89.82,38742
PEDRO LAURENTINO,143193.0,565,733800.0,1092,7315.0,7,13,1,51.26,2536
NOVA SANTA RITA,210864.0,967,1268400.0,1882,14630.0,15,29,1,66.3,4374
PICOS,1305980.0,9495,18524400.0,25695,4162235.81,3984,3085,59,394.39,78222
PIMENTEIRAS,472916.0,1975,2880600.0,4346,66880.5,65,175,1,144.31,12127
PIO IX,519744.0,3250,4975800.0,7397,250800.0,241,170,2,92.27,18425
