Piau&iacute; | Todos os Munic&iacute;pios;;;;;;;;;;;;;;;;;;;;;
Jaic&oacute;s,2205201,jaicoense,OGILVAN DA SILVA OLIVEIRA,865.144,19170,20.85,95.1,0.524,11.03,40164.52849,36286.00057,8524.39,;;;;;;;;;;;;;;;;;;;;;;
Jardim do Mulato,2205250,jardimulatense,AIRTON JOSE DA COSTA VELOSO,509.850,4513,8.45,98.9,0.593,18.52,12658.3486,12596.03812,6648.42,;;;;;;;;;;;;;;;;;;;;;;;
Jatob&aacute; do Piau&iacute;,2205276,jatobaense,JOS&Eacute; CARLOS GOMES BANDEIRA,650.681,4875,7.13,98.9,0.566,21.74,14837.05033,14596.88111,8365.67,;;;;;;;;;;;;;;;;;;;;
Jerumenha,2205300,jerumenhense,ALDARA ROCHA LEAL VILAR PINTO,1867.313,4447,2.35,97.4,0.591,15.15,13145.21821,12126.03938,9894.35,;;;;;;;;;;;;;;;;;;;;;;;
Jo&atilde;o Costa,2205359,jo&atilde;o costense,GILSON CASTRO DE ASSIS,1800.230,3005,1.64,96.9,0.561,27.78,17953.77877,14078.3885,8764.72,;;;;;;;;;;;;;;;;;;;;;
Joaquim Pires,2205409,joaquim-pirense,GENIVAL BEZERRA DA SILVA,739.979,14376,18.68,96.2,0.522,4.50,31352.2017,27395.78493,6412.45,;;;;;;;;;;;;;;;;;;;;;;;
Joca Marques,2205458,jocamarquense,EDILBERTO AGUIAR MARQUES FILHO,166.443,5466,30.64,97.2,0.504,36.14,15922.93451,15337.89776,6448.87,;;;;;;;;;;;;;;;;;;;;;;;
Jos&eacute; de Freitas,2205508,freitense,ROGER COQUEIRO LINHARES,1538.172,39336,24.11,98.7,0.618,19.45,75540.51965,70167.4135,8292.47,;;;;;;;;;;;;;;;;;;;;;;
Juazeiro do Piau&iacute;,2205516,juazeirense,JOS&Eacute; VALDO SOARES ROCHA,935.404,5485,5.75,99.1,0.570,17.54,15591.98768,13401.04814,7738.00,;;;;;;;;;;;;;;;;;;;;;
J&uacute;lio Borges,2205524,julio borgense,EDUARDO HENRIQUE DE CASTRO ROCHA,1283.916,5640,4.14,98.6,0.582,10.42,15551.68152,15017.77043,7309.32,;;;;;;;;;;;;;;;;;;;;;;
Jurema,2205532,juremense,ELDER DA ROCHA SOUZA,1271.881,4777,3.55,99.2,0.555,31.25,16611.09069,15242.10304,7532.04,;;;;;;;;;;;;;;;;;;;;;;;
Lagoinha do Piau&iacute;,2205540,lagoinense,ALCIONE BARBOSA VIANA,67.617,2858,39.35,96.9,0.597,32.26,11091.58172,9753.45988,7228.69,;;;;;;;;;;;;;;;;;;;;;;
Lagoa Alegre,2205557,lagoalegrense,CARLOS MAGNO FORTES MACHADO,394.661,8577,20.29,97.8,0.550,17.24,1267.34639,18549.50481,6995.78,;;;;;;;;;;;;;;;;;;;;;;;
Lagoa do Barro do Piau&iacute;,2205565,lagoa do barrense,GILSON NUNES DE SOUSA,1329.665,4656,3.58,94.7,0.502,14.93,15076.29001,13675.16995,8142.49,;;;;;;;;;;;;;;;;;;;;;;
Lagoa de S&atilde;o Francisco,2205573,lagoense,VERIDIANO CARVALHO DE MELO,155.639,6777,41.26,98.3,0.529,13.70,16827.35737,14909.68714,5999.13,;;;;;;;;;;;;;;;;;;;;;;
Lagoa do Piau&iacute;,2205581,lagoense,ANTONIO FRANCISCO DE OLIVEIRA NETO,427.325,4075,9.05,98.9,0.583,17.86,18370.42042,14012.57216,10947.55,;;;;;;;;;;;;;;;;;;;;;;
Lagoa do S&iacute;tio,2205599,sitiolagoense,ANT&Ocirc;NIO BENEDITO DE MOURA,804.698,5198,6.03,96.6,0.541,47.62,12927.49778,12742.57974,8990.88,;;;;;;;;;;;;;;;;;;;;;
Landri Sales,2205607,landri-salesiano,AURELIO SARAIVA  DE SA,1088.583,5283,4.85,98.7,0.584,37.97,16900.1108,15332.93344,11844.77,;;;;;;;;;;;;;;;;;;;;;;;
Lu&iacute;s Correia,2205706,lu&iacute;s-correiense,FRANCISCO ARAUJO GALENO,1074.712,30438,26.52,95.4,0.541,31.78,65225.26447,62511.12573,9630.06,;;;;;;;;;;;;;;;;;;;;;
Luzil&acirc;ndia,2205805,luzilandense,RONALDO DE SOUSA AZEVEDO,704.347,25504,35.10,96.1,0.545,5.06,45111.92813,43401.868,7644.15,;;;;;;;;;;;;;;;;;;;;;;
Madeiro,2205854,madeirense,JOS&Eacute; CASSIMIRO DE ARA&Uacute;JO NETO,177.153,8342,44.12,97.8,0.563,22.90,20434.27687,19096.36138,5954.09,;;;;;;;;;;;;;;;;;;;;;
Manoel Em&iacute;dio,2205904,manoel-emidense,JOSE MEDEIROS DA SILVA,1618.992,5351,3.22,99,0.573,13.70,80.01341,14666.29822,8053.51,;;;;;;;;;;;;;;;;;;;;;;
Marcol&acirc;ndia,2205953,marcolandense,FRANCISCO PEDRO DE ARAUJO,139.973,8543,54.30,94.5,0.562,32.79,20256.57473,18957.49576,7432.50,;;;;;;;;;;;;;;;;;;;;;;
Marcos Parente,2206001,marcos-parentense,PEDRO NUNES DE SOUSA,677.414,4547,6.58,97.3,0.590,42.86,14014.78847,12196.11307,8872.92,;;;;;;;;;;;;;;;;;;;;;;;
Massap&ecirc; do Piau&iacute;,2206050,massap&ecirc;ense,FRANCISCO EPIFANIO CARVALHO REIS,530.016,6449,11.94,98.6,0.525,40.82,18144.30665,16011.58747,6145.42,;;;;;;;;;;;;;;;;;;;;
