MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC
LAGOA DE SAO FRANCISCO,32.029002663509914,0.15241195620005918,345.1021012133767,0.5128736312518497,8.659366676531517,0.008434448061556674,0.008138502515537141,0.0002959455460195324,81.39
LAGOA DO BARRO DO PIAUI,33.035660580021485,0.1443609022556391,226.5950590762621,0.3475832438238453,10.10204081632653,0.009881847475832439,0.06809881847475832,0.00021482277121374866,680.99
LAGOA DO PIAUI,52.862696850393704,0.2044783464566929,384.59645669291336,0.594242125984252,2.0570866141732282,0.0022145669291338582,0.06791338582677166,0.0004921259842519685,679.13
LAGOA DO SITIO,48.135986092331464,0.2155688622754491,247.32470542785396,0.3484643615993819,0.40370871160904,0.00038632412594166504,0.0046358895112999805,0.0005794861889124976,46.36
LAGOINHA DO PIAUI,24.48471001757469,0.14727592267135325,522.1792618629174,0.772231985940246,3.67311072056239,0.0035149384885764497,0.0492091388400703,0.00070298769771529,492.09
LANDRI SALES,48.5837582625118,0.2141643059490085,303.342776203966,0.4060434372049103,13.222851746931067,0.012842304060434372,0.004154863078375827,0.00018885741265344664,41.55
LUIS CORREIA,29.922602355580484,0.1712249678334598,278.15644485500314,0.4055953284286233,25.753538319421992,0.024677509814918678,0.011579954471973871,0.0004288872026656989,115.8
LUZILANDIA,48.258730283292785,0.2036804520128698,289.5707447225928,0.4081456485913835,22.223573726751944,0.021305814957231422,0.06117083889194067,0.0010201679353370478,611.71
MADEIRO,41.436462093862815,0.16161251504211793,220.8664259927798,0.3309265944645006,0.8802647412755716,0.0009626955475330926,0.043922984356197355,0.00024067388688327315,439.23
MANOEL EMIDIO,24.47616376892877,0.1428304355954384,249.91587212563095,0.3643671714339129,2.9304542905215927,0.0029912133108992334,0.02224714899981305,0.0009347541596560105,222.47
MARCOLANDIA,50.92946302402261,0.21855864342910974,330.2402260951484,0.46632124352331605,7.7525906735751295,0.007536504945831371,0.03144135657089025,0.000706547338671691,314.41
MARCOS PARENTE,33.05341833369972,0.19894482303803035,287.66761925697955,0.3778852495053858,4.364695537480765,0.004396570674873599,0.011431083754671357,0.00021982853374367993,114.31
MASSAPE DO PIAUI,42.172178233193605,0.16860735910572894,249.55752212389382,0.3806862288464524,4.218289085545723,0.004191895668374476,0.0006210215804999224,0.0,6.21
MATIAS OLIMPIO,48.010332845647405,0.18672275054864668,265.2706656912948,0.36247256766642283,6.975585223116313,0.006766642282370154,0.031364301389904904,0.00045720555961960497,313.64
MIGUEL ALVES,45.60186611374407,0.17846563981042654,257.5770142180095,0.3622334123222749,17.36507701421801,0.01664691943127962,0.030242890995260664,0.00035545023696682463,302.43
MIGUEL LEAO,34.195826645264845,0.15168539325842698,269.18138041733545,0.4069020866773676,4.193418940609952,0.004815409309791332,0.024077046548956663,0.0,240.77
MILTON BRANDAO,36.048843187660665,0.16165129290790867,245.24421593830334,0.3849992439135037,5.688794798124905,0.005595040072584304,0.001965824890367458,0.0,19.66
MONSENHOR GIL,38.546194623248766,0.161965164710337,254.50586898901932,0.36652783036728515,10.485611510791367,0.01012873911397198,0.045531995456266565,0.0007572889057175312,455.32
MONSENHOR HIPOLITO,38.39411536972513,0.16969931604077945,277.35191637630663,0.4128274616079494,15.373596593108788,0.014711575687185443,0.018583042973286876,0.0002580978190734288,185.83
MONTE ALEGRE DO PIAUI,47.13115989823801,0.1729953830208235,254.34844059172713,0.3673796287571846,5.120135682653349,0.0049938754357862995,0.017054555733534343,0.00037689625930462643,170.55
MORRO CABECA NO TEMPO,51.17718446601942,0.18270079435127978,239.49691085613415,0.3638570167696381,0.9223300970873787,0.00088261253309797,0.004192409532215357,0.0,41.92
MORRO DO CHAPEU DO PIAUI,39.28605061801059,0.16995291347851677,246.93937610359035,0.3694820482636845,3.229105356091819,0.003237198351971748,0.050029429075927015,0.0002942907592701589,500.29
MURICI DOS PORTELAS,24.70433453433781,0.1473960039305601,208.9747789059941,0.3042908614477563,3.080576482148706,0.00305710230374495,0.007642755759362376,0.00032754667540124465,76.43
